Alue_id,Alue,alle14,v14_17,v18_64,v65
211101001,Saarenmaa,19.1977077363897,5.15759312320917,57.3065902578797,18.3381088825215
211101002,Haapaniemi,22.0338983050847,2.96610169491525,51.6949152542373,23.3050847457627
211101003,Kuohenmaa,13.903743315508,5.88235294117647,55.6149732620321,24.5989304812834
211102001,Ilkko,18.2626538987688,4.24076607387141,60.1231190150479,17.3734610123119
211102002,Vatiala,20.0766650694777,4.00095831336847,59.1039770004792,16.8183996166747
211102003,Lamminrahka,0,0,0,0
211103001,Lentola,18.5476658916115,4.25684135217314,58.3974244321231,18.7980683240923
211103002,Asema,26.6604303086997,6.08044901777362,59.2609915809167,7.99812909260992
211104001,Ruutana,26.5076660988075,4.02044293015332,58.2282793867121,11.2436115843271
211104002,Suinula,18.0045871559633,6.19266055045872,55.045871559633,20.756880733945
211104003,Lihasula,17.3611111111111,3.47222222222222,61.8055555555556,17.3611111111111
211105001,Ranta-Koivisto,20.8239700374532,4.64419475655431,58.876404494382,15.6554307116105
211105002,Riku,12.9107981220657,2.69953051643193,57.6291079812207,26.7605633802817
211105003,Keskusta,14.1699706947078,3.32701258403724,50.146526460955,32.3564902603
211105004,Huutijärvi,18.9240506329114,3.48101265822785,56.0759493670886,21.5189873417722
211106001,Tiihala,21.4285714285714,6.12244897959184,54.0816326530612,18.3673469387755
211106002,Saarikylät,14.1509433962264,4.24528301886793,58.4905660377358,23.1132075471698
211106003,Vääksy,18.1528662420382,2.86624203821656,55.7324840764331,23.2484076433121
211106004,Raudanmaa,15.7556270096463,4.5016077170418,58.0385852090032,21.7041800643087
211106005,Raikku,11.3924050632911,3.16455696202532,53.4810126582279,31.9620253164557
211201001,Sahalahti,15.6060606060606,4.01515151515152,56.6666666666667,23.7121212121212
211201002,Lahdenkulma,21.9298245614035,2.63157894736842,54.9707602339181,20.4678362573099
211201003,Pakkala,16.5236051502146,2.78969957081545,53.4334763948498,27.2532188841202
211202001,Kuhmalahden kirkonkylä,11.8491921005386,3.05206463195691,54.2190305206463,30.8797127468582
211202002,Pohja,7.63052208835341,2.81124497991968,47.7911646586345,41.7670682730924
211202003,Vehkajärvi,6.87022900763359,3.81679389312977,51.9083969465649,37.4045801526718
